trial_number,model,params.learning_rate,params.max_depth,params.n_estimators,accuracy,inference_cost,latency,acc_norm,cost_norm,lat_norm,score_norm
110,Model B,0.002426,3,139,0.9199,0.257,39.9,1,0.486842,0.246127,1.633515
53,Model B,0.00766,3,173,0.9136,0.238,39.3,0.929922,0.361842,0.2358,1.631101
47,Model B,0.017306,3,334,0.911,0.239,40,0.901001,0.368421,0.247849,1.592866
74,Model B,0.003452,3,184,0.9077,0.233,41.5,0.864294,0.328947,0.273666,1.562987
63,Model C,0.001504,7,92,0.8837,0.202,25.6,0.59733,0.125,0,1.53483
24,Model C,0.015902,3,50,0.8891,0.215,28.8,0.657397,0.210526,0.055077,1.524595
26,Model B,0.004952,7,292,0.9046,0.239,43.8,0.829811,0.368421,0.313253,1.488974
56,Model B,0.002802,9,313,0.9154,0.24,58.4,0.949944,0.375,0.564544,1.480172
93,Model C,0.001485,9,58,0.8896,0.224,35.9,0.662959,0.269737,0.177281,1.43945
62,Model B,0.001303,5,267,0.9028,0.272,38.1,0.809789,0.585526,0.215146,1.409452
